,uid,history,prob
14817,206351874,"亲爱的来吃饭High, 伍六七之最强发型师High, 身为一个胖子High, 梦回High, 特警队High, 亲爱的新年好High, 北京女子图鉴之助理女王High, 精英律师High, 普杰的冬天High, 大明风华High, 只有芸知道High, 闪光少女Medium, 梦在海这边High, 第二次也很美High, 被光抓走的人High, 鹤唳华亭High, 剑王朝High, 庆余年第一季High, 海棠经雨胭脂透High, 勇敢者游戏2再战巅峰JumanjiTheNextLevelHigh, 早餐中国第二季High, 幸福三重奏第二季High, 一夜新娘High, 鳄鱼与牙签鸟High, 吐槽大会第四季High",0.8981462390204987
14894,42708227,"且听凤鸣High, 运动吧少年High, 天舞纪High, 少年之名High, 哪吒降妖记High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 全世界最好的你High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",1.0
14895,49627829,"且听凤鸣High, 运动吧少年High, 天舞纪High, 少年之名High, 对白第三季High, 哪吒降妖记High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 全世界最好的你High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",1.0
14897,25912083,"且听凤鸣High, 锦绣南歌High, 花样实习生High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14898,57522814,"且听凤鸣High, 锦绣南歌High, 花样实习生High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14899,47068572,"且听凤鸣High, 锦绣南歌High, 花样实习生High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14900,88380684,"且听凤鸣High, 锦绣南歌High, 花样实习生High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14901,3557115,"且听凤鸣High, 运动吧少年High, 锦绣南歌High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",0.9534625892455925
14902,65488340,"且听凤鸣High, 锦绣南歌High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14903,48099212,"且听凤鸣High, 锦绣南歌High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14904,50059299,"且听凤鸣High, 锦绣南歌High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
